attribution,quote,quote_date
Albert Einstein,The difference between stupidity and genius is that genius has its limits.,1487635200000
Aristotle,"Quality is not an act, it is a habit.",1486598400000
Albert Einstein,Anyone who doesn't take truth seriously in small matters cannot be trusted in large ones either.,1485907200000
Adyashanti,"As soon as we think we know what's going to happen, life shows us that we don't.",1485388800000
,A life spent making mistakes is more honorable than a life spent doing nothing.,1484784000000
Eleanor Roosevelt,You must do the things you think you cannot do.,1484092800000
Mark Twain,We have the best government money can buy.,1483488000000
Confucius,"Everything has beauty, but not everyone sees it.",1482883200000
Dalai Lama,"Where ignorance is our master, there is no possibility of real peace.",1482105600000
Vincent Van Gogh,Great things are done by a series of small things brought together,1481587200000
John,Here is another test,1481587200000
Abraham Lincoln,Only a genius would create a real-time operations dashboard.,1481587200000
John Clary,"I find pizza to be a delicious, healthy, snack.",1481500800000
