"ATD_SIGNAL_ID","SIGNAL_TYPE","LOCATION_NAME","PRIMARY_ST","CROSS_ST","CONTROL","ATD_LOCATION_ID","COA_INTERSECTION_ID","COUNCIL_DISTRICT","CROSS_ST_AKA","CROSS_ST_SEGMENT_ID","JURISDICTION","LANDMARK","PRIMARY_ST_AKA","PRIMARY_ST_SEGMENT_ID","SIGNAL_ENG_AREA","GEOCODE","GEOCODE: Street 1","GEOCODE: Street 2","GEOCODE: City","GEOCODE: State","GEOCODE: Zip","GEOCODE: Country","GEOCODE: Latitude","GEOCODE: Longitude","MASTER_SIGNAL_ID","SIGNAL_STATUS","IP_SWITCH","IP_CONTROL","SWITCH_COMM"
"","TRAFFIC","","","","MASTER","","","","","","","","","","","","","","","","","","","","","","","",""
"","TRAFFIC","","","","MASTER","","","","","","","","","","","","","","","","","","","","","","","",""
"210","TRAFFIC","","","","MASTER","","","","","","","","","","","","","","","","","","","","","","1","1","Both"
"2","TRAFFIC","W GUADALUPE ST / N LAMAR BLVD","W GUADALUPE ST","N LAMAR BLVD","MASTER","1","5158418","9","","2046174","AUSTIN FULL PURPOSE","","","2046169","CENTRAL","4806 North Lamar Boulevard Austin, Texas 78751","4806 North Lamar Boulevard","","Austin","Texas","78751","United States","30.3166466","-97.7322464","","TURNED_ON","1","1","Both"
"3","TRAFFIC","N LAMAR BLVD / W 51ST ST","N LAMAR BLVD","W 51ST ST","MASTER","2","5158588","9","","2019845","AUSTIN FULL PURPOSE","","","2019844","CENTRAL","5101 North Lamar Boulevard Austin, Texas 78751","5101 North Lamar Boulevard","","Austin","Texas","78751","United States","30.3187695","-97.7308197","","TURNED_ON","1","1","Both"
"4","TRAFFIC","N LAMAR BLVD / W NORTH LOOP BLVD","N LAMAR BLVD","W NORTH LOOP BLVD","MASTER","3","5158745","7","","2019848","AUSTIN FULL PURPOSE","","","2019847","CENTRAL","5298 North Lamar Boulevard Austin, Texas 78751","5298 North Lamar Boulevard","","Austin","Texas","78751","United States","30.3210888","-97.729393","","TURNED_ON","1","1","Both"
"5","TRAFFIC","W KOENIG LN / N LAMAR BLVD","W KOENIG LN","N LAMAR BLVD","MASTER","4","5159119","4","","2012199","AUSTIN FULL PURPOSE","","","2040437","NORTH","5708 North Lamar Boulevard Austin, Texas 78752","5708 North Lamar Boulevard","","Austin","Texas","78752","United States","30.325943","-97.7263336","","TURNED_ON","1","1","Both"
"6","TRAFFIC","N LAMAR BLVD / DENSON DR","N LAMAR BLVD","DENSON DR","MASTER","5","5159402","7","","2012025","AUSTIN FULL PURPOSE","","","2012002","NORTH","6200 North Lamar Boulevard Austin, Texas 78752","6200 North Lamar Boulevard","","Austin","Texas","78752","United States","30.3303776","-97.7235413","","TURNED_ON","1","1","Both"
"7","TRAFFIC","N LAMAR BLVD / BRENTWOOD ST","N LAMAR BLVD","BRENTWOOD ST","MASTER","6","5159639","7","","2011842","AUSTIN FULL PURPOSE","","","2011841","NORTH","6601 North Lamar Boulevard Austin, Texas 78752","6601 North Lamar Boulevard","","Austin","Texas","78752","United States","30.3339996","-97.7212448","","TURNED_ON","1","1","Both"
"8","TRAFFIC","N LAMAR BLVD / JUSTIN LN","N LAMAR BLVD","JUSTIN LN","SLAVE","7","5159824","7","","2011711","AUSTIN FULL PURPOSE","","","2011748","NORTH","808 Justin Lane Austin, Texas 78757","808 Justin Lane","","Austin","Texas","78757","United States","30.3367023","-97.7195587","","TURNED_ON","1","1","Both"
"9","TRAFFIC","AIRPORT BLVD / N LAMAR BLVD","AIRPORT BLVD","N LAMAR BLVD","MASTER","8","5159899","4","","2011669","AUSTIN FULL PURPOSE","","","3257640","NORTH","Airport Boulevard Austin, Texas 78752","Airport Boulevard","","Austin","Texas","78752","United States","30.3376293","-97.7188721","","TURNED_ON","1","1","Both"
"10","TRAFFIC","W KOENIG LN / GUADALUPE ST","W KOENIG LN","GUADALUPE ST","MASTER","9","5159393","4","","2012280","AUSTIN FULL PURPOSE","","","2040437","NORTH","5599 Guadalupe Street Austin, Texas 78751","5599 Guadalupe Street","","Austin","Texas","78751","United States","30.3235016","-97.7238312","","TURNED_ON","1","1","Both"
