start,end,startime,endtime,traveltime
oltorf,benwhite,1496581674,1496581765,91
oltorf,benwhite,1496615944,1496616028,84
oltorf,benwhite,1496582349,1496582463,114
oltorf,benwhite,1496582229,1496582419,190
oltorf,benwhite,1496594946,1496594978,32
oltorf,benwhite,1496612089,1496612111,22
oltorf,benwhite,1496575751,1496575926,175
oltorf,benwhite,1496579017,1496579126,109
oltorf,benwhite,1496587516,1496587572,56
oltorf,benwhite,1496581489,1496581568,79
oltorf,benwhite,1496592394,1496592533,139
oltorf,benwhite,1496570947,1496571014,67
oltorf,benwhite,1496584177,1496584223,46
oltorf,benwhite,1496586194,1496586367,173
oltorf,benwhite,1496577092,1496577249,157
oltorf,benwhite,1496591316,1496591323,7
oltorf,benwhite,1496579122,1496579146,24
oltorf,benwhite,1496578489,1496578501,12
oltorf,benwhite,1496599248,1496599346,98
oltorf,benwhite,1496577595,1496577679,84
oltorf,benwhite,1496581612,1496581659,47
oltorf,benwhite,1496613015,1496613088,73
oltorf,benwhite,1496585346,1496585409,63
oltorf,benwhite,1496596931,1496596966,35
oltorf,benwhite,1496572121,1496572181,60
oltorf,benwhite,1496615355,1496615454,99
oltorf,benwhite,1496614080,1496614276,196
oltorf,benwhite,1496568400,1496568499,99
oltorf,benwhite,1496596303,1496596387,84
oltorf,benwhite,1496576343,1496576344,1
oltorf,benwhite,1496583460,1496583562,102
oltorf,benwhite,1496598124,1496598276,152
oltorf,benwhite,1496580836,1496581000,164
oltorf,benwhite,1496577662,1496577754,92
oltorf,benwhite,1496591136,1496591267,131
oltorf,benwhite,1496580298,1496580445,147
oltorf,benwhite,1496597399,1496597406,7
oltorf,benwhite,1496614208,1496614293,85
oltorf,benwhite,1496611267,1496611449,182
oltorf,benwhite,1496572337,1496572467,130
oltorf,benwhite,1496610602,1496610694,92
oltorf,benwhite,1496578598,1496578684,86
oltorf,benwhite,1496586727,1496586809,82
oltorf,benwhite,1496581443,1496581604,161
oltorf,benwhite,1496601138,1496601291,153
oltorf,benwhite,1496618109,1496618187,78
oltorf,benwhite,1496577739,1496577765,26
oltorf,benwhite,1496578880,1496578973,93
oltorf,benwhite,1496581130,1496581139,9
oltorf,benwhite,1496591477,1496591490,13
oltorf,benwhite,1496596927,1496596954,27
oltorf,benwhite,1496568624,1496568670,46
oltorf,benwhite,1496607934,1496607947,13
oltorf,benwhite,1496585905,1496586076,171
oltorf,benwhite,1496611566,1496611691,125
oltorf,benwhite,1496578236,1496578352,116
oltorf,benwhite,1496587453,1496587646,193
oltorf,benwhite,1496617323,1496617415,92
oltorf,benwhite,1496601441,1496601597,156
oltorf,benwhite,1496581268,1496581439,171
oltorf,benwhite,1496616425,1496616533,108
oltorf,benwhite,1496613344,1496613483,139
oltorf,benwhite,1496616598,1496616791,193
oltorf,benwhite,1496604678,1496604751,73
oltorf,benwhite,1496575749,1496575912,163
oltorf,benwhite,1496594020,1496594155,135
oltorf,benwhite,1496589644,1496589808,164
oltorf,benwhite,1496578746,1496578800,54
oltorf,benwhite,1496599323,1496599331,8
oltorf,benwhite,1496617812,1496617818,6
oltorf,benwhite,1496608361,1496608540,179
oltorf,benwhite,1496571406,1496571516,110
oltorf,benwhite,1496571405,1496571531,126
oltorf,benwhite,1496603510,1496603698,188
oltorf,benwhite,1496580775,1496580899,124
oltorf,benwhite,1496602419,1496602434,15
oltorf,benwhite,1496585644,1496585657,13
oltorf,benwhite,1496596257,1496596329,72
oltorf,benwhite,1496612332,1496612521,189
oltorf,benwhite,1496571223,1496571360,137
oltorf,benwhite,1496598216,1496598342,126
oltorf,benwhite,1496617559,1496617643,84
oltorf,benwhite,1496600241,1496600341,100
oltorf,benwhite,1496580972,1496580980,8
oltorf,benwhite,1496598083,1496598276,193
oltorf,benwhite,1496572844,1496573029,185
oltorf,benwhite,1496607331,1496607463,132
oltorf,benwhite,1496602966,1496602998,32
oltorf,benwhite,1496606974,1496607115,141
oltorf,benwhite,1496607316,1496607402,86
oltorf,benwhite,1496596512,1496596679,167
oltorf,benwhite,1496611778,1496611974,196
oltorf,benwhite,1496574484,1496574549,65
oltorf,benwhite,1496577091,1496577251,160
oltorf,benwhite,1496572080,1496572170,90
oltorf,benwhite,1496589575,1496589678,103
oltorf,benwhite,1496601926,1496601975,49
oltorf,benwhite,1496609333,1496609362,29
oltorf,benwhite,1496585314,1496585350,36
oltorf,benwhite,1496595366,1496595470,104
oltorf,benwhite,1496607618,1496607684,66
oltorf,benwhite,1496603304,1496603396,92
oltorf,benwhite,1496569877,1496569930,53
oltorf,benwhite,1496592952,1496593068,116
oltorf,benwhite,1496577846,1496577936,90
oltorf,benwhite,1496615845,1496615961,116
oltorf,benwhite,1496576595,1496576713,118
oltorf,benwhite,1496604550,1496604688,138
oltorf,benwhite,1496569974,1496570084,110
oltorf,benwhite,1496613780,1496613963,183
oltorf,benwhite,1496618014,1496618117,103
oltorf,benwhite,1496595777,1496595829,52
oltorf,benwhite,1496575562,1496575579,17
oltorf,benwhite,1496596750,1496596878,128
oltorf,benwhite,1496586589,1496586685,96
oltorf,benwhite,1496586901,1496587041,140
oltorf,benwhite,1496596691,1496596712,21
oltorf,benwhite,1496605296,1496605406,110
oltorf,benwhite,1496580748,1496580829,81
oltorf,benwhite,1496589457,1496589535,78
oltorf,benwhite,1496577503,1496577560,57
oltorf,benwhite,1496583390,1496583444,54
oltorf,benwhite,1496610283,1496610382,99
oltorf,benwhite,1496604633,1496604639,6
oltorf,benwhite,1496575920,1496576047,127
oltorf,benwhite,1496569563,1496569698,135
oltorf,benwhite,1496586426,1496586521,95
oltorf,benwhite,1496595844,1496595928,84
oltorf,benwhite,1496601467,1496601644,177
oltorf,benwhite,1496589273,1496589290,17
oltorf,benwhite,1496610603,1496610750,147
oltorf,benwhite,1496578626,1496578813,187
oltorf,benwhite,1496593344,1496593398,54
oltorf,benwhite,1496569638,1496569746,108
oltorf,benwhite,1496577213,1496577409,196
oltorf,benwhite,1496584865,1496584868,3
oltorf,benwhite,1496594999,1496595035,36
oltorf,benwhite,1496595647,1496595663,16
oltorf,benwhite,1496608539,1496608632,93
oltorf,benwhite,1496581263,1496581425,162
oltorf,benwhite,1496608074,1496608250,176
oltorf,benwhite,1496570035,1496570222,187
oltorf,benwhite,1496616267,1496616421,154
oltorf,benwhite,1496604645,1496604816,171
oltorf,benwhite,1496618276,1496618337,61
oltorf,benwhite,1496607955,1496607982,27
oltorf,benwhite,1496594909,1496594963,54
oltorf,benwhite,1496583171,1496583291,120
oltorf,benwhite,1496601193,1496601253,60
oltorf,benwhite,1496583018,1496583191,173
oltorf,benwhite,1496596971,1496597114,143
oltorf,benwhite,1496616680,1496616877,197
oltorf,benwhite,1496587286,1496587453,167
oltorf,benwhite,1496593718,1496593906,188
oltorf,benwhite,1496585952,1496585990,38
oltorf,benwhite,1496605080,1496605156,76
oltorf,benwhite,1496569421,1496569574,153
oltorf,benwhite,1496573103,1496573174,71
oltorf,benwhite,1496601641,1496601787,146
oltorf,benwhite,1496595581,1496595620,39
oltorf,benwhite,1496598509,1496598632,123
oltorf,benwhite,1496601372,1496601488,116
oltorf,benwhite,1496575136,1496575231,95
oltorf,benwhite,1496572152,1496572290,138
oltorf,benwhite,1496570267,1496570281,14
oltorf,benwhite,1496616084,1496616133,49
oltorf,benwhite,1496578593,1496578748,155
oltorf,benwhite,1496571331,1496571337,6
oltorf,benwhite,1496577400,1496577501,101
oltorf,benwhite,1496589178,1496589345,167
oltorf,benwhite,1496601447,1496601531,84
oltorf,benwhite,1496611978,1496612066,88
oltorf,benwhite,1496603779,1496603805,26
oltorf,benwhite,1496597923,1496598026,103
oltorf,benwhite,1496609406,1496609504,98
oltorf,benwhite,1496602756,1496602856,100
oltorf,benwhite,1496591985,1496592101,116
oltorf,benwhite,1496603675,1496603813,138
oltorf,benwhite,1496603327,1496603330,3
oltorf,benwhite,1496601353,1496601419,66
oltorf,benwhite,1496596229,1496596361,132
oltorf,benwhite,1496576172,1496576207,35
oltorf,benwhite,1496591654,1496591686,32
oltorf,benwhite,1496608167,1496608244,77
oltorf,benwhite,1496571708,1496571779,71
oltorf,benwhite,1496589550,1496589703,153
oltorf,benwhite,1496600739,1496600761,22
oltorf,benwhite,1496576583,1496576756,173
oltorf,benwhite,1496579284,1496579452,168
oltorf,benwhite,1496586600,1496586653,53
oltorf,benwhite,1496587831,1496587859,28
oltorf,benwhite,1496595028,1496595097,69
oltorf,benwhite,1496615121,1496615318,197
oltorf,benwhite,1496583833,1496583845,12
oltorf,benwhite,1496596236,1496596250,14
oltorf,benwhite,1496609905,1496609972,67
oltorf,benwhite,1496614420,1496614585,165
oltorf,benwhite,1496599070,1496599091,21
oltorf,benwhite,1496616971,1496617024,53
oltorf,benwhite,1496583560,1496583659,99
oltorf,benwhite,1496576577,1496576711,134
oltorf,benwhite,1496605545,1496605595,50
oltorf,benwhite,1496602994,1496603016,22
oltorf,benwhite,1496602507,1496602667,160
oltorf,benwhite,1496576939,1496576957,18
oltorf,benwhite,1496583665,1496583687,22
oltorf,benwhite,1496597628,1496597634,6
oltorf,benwhite,1496589491,1496589514,23
oltorf,benwhite,1496600996,1496601124,128
oltorf,benwhite,1496582027,1496582048,21
oltorf,benwhite,1496576560,1496576721,161
oltorf,benwhite,1496596979,1496597030,51
oltorf,benwhite,1496608421,1496608453,32
oltorf,benwhite,1496594878,1496594952,74
oltorf,benwhite,1496587237,1496587383,146
oltorf,benwhite,1496616442,1496616517,75
oltorf,benwhite,1496594429,1496594526,97
oltorf,benwhite,1496581146,1496581295,149
oltorf,benwhite,1496605838,1496606013,175
oltorf,benwhite,1496591155,1496591167,12
oltorf,benwhite,1496585882,1496585989,107
oltorf,benwhite,1496595630,1496595776,146
oltorf,benwhite,1496591013,1496591063,50
oltorf,benwhite,1496585220,1496585407,187
oltorf,benwhite,1496608717,1496608756,39
oltorf,benwhite,1496614067,1496614155,88
oltorf,benwhite,1496584474,1496584618,144
oltorf,benwhite,1496576492,1496576507,15
oltorf,benwhite,1496575538,1496575622,84
oltorf,benwhite,1496579040,1496579208,168
oltorf,benwhite,1496612036,1496612176,140
oltorf,benwhite,1496601046,1496601198,152
oltorf,benwhite,1496590792,1496590983,191
oltorf,benwhite,1496577233,1496577357,124
oltorf,benwhite,1496607806,1496607990,184
oltorf,benwhite,1496616141,1496616201,60
oltorf,benwhite,1496579018,1496579148,130
oltorf,benwhite,1496611344,1496611388,44
oltorf,benwhite,1496595831,1496595894,63
oltorf,benwhite,1496600733,1496600890,157
oltorf,benwhite,1496602337,1496602338,1
oltorf,benwhite,1496609181,1496609362,181
oltorf,benwhite,1496614933,1496615043,110
oltorf,benwhite,1496599231,1496599268,37
oltorf,benwhite,1496605347,1496605431,84
oltorf,benwhite,1496573634,1496573738,104
oltorf,benwhite,1496572954,1496573124,170
oltorf,benwhite,1496568244,1496568261,17
oltorf,benwhite,1496573850,1496573943,93
oltorf,benwhite,1496593773,1496593838,65
oltorf,benwhite,1496570220,1496570270,50
oltorf,benwhite,1496606216,1496606332,116
oltorf,benwhite,1496598822,1496598972,150
oltorf,benwhite,1496575077,1496575169,92
oltorf,benwhite,1496588609,1496588610,1
oltorf,benwhite,1496590549,1496590667,118
oltorf,benwhite,1496582253,1496582350,97
oltorf,benwhite,1496594317,1496594508,191
oltorf,benwhite,1496572303,1496572386,83
oltorf,benwhite,1496608476,1496608541,65
oltorf,benwhite,1496602218,1496602319,101
oltorf,benwhite,1496575882,1496576014,132
oltorf,benwhite,1496601556,1496601603,47
oltorf,benwhite,1496589190,1496589349,159
oltorf,benwhite,1496613260,1496613374,114
oltorf,benwhite,1496578054,1496578076,22
oltorf,benwhite,1496605781,1496605966,185
oltorf,benwhite,1496582823,1496582983,160
oltorf,benwhite,1496575370,1496575435,65
oltorf,benwhite,1496604192,1496604314,122
oltorf,benwhite,1496586988,1496587155,167
oltorf,benwhite,1496604971,1496605042,71
oltorf,benwhite,1496603772,1496603833,61
oltorf,benwhite,1496602431,1496602610,179
oltorf,benwhite,1496616957,1496616971,14
oltorf,benwhite,1496583859,1496584035,176
oltorf,benwhite,1496603303,1496603387,84
oltorf,benwhite,1496611937,1496611968,31
oltorf,benwhite,1496618206,1496618248,42
oltorf,benwhite,1496590555,1496590688,133
oltorf,benwhite,1496587182,1496587189,7
oltorf,benwhite,1496595202,1496595398,196
oltorf,benwhite,1496582312,1496582462,150
oltorf,benwhite,1496598565,1496598742,177
oltorf,benwhite,1496572296,1496572404,108
oltorf,benwhite,1496617582,1496617607,25
oltorf,benwhite,1496576516,1496576629,113
oltorf,benwhite,1496601799,1496601996,197
oltorf,benwhite,1496588525,1496588624,99
oltorf,benwhite,1496602507,1496602564,57
oltorf,benwhite,1496573193,1496573267,74
oltorf,benwhite,1496574259,1496574265,6
oltorf,benwhite,1496582211,1496582399,188
oltorf,benwhite,1496568458,1496568579,121
oltorf,benwhite,1496618016,1496618212,196
oltorf,benwhite,1496612294,1496612388,94
oltorf,benwhite,1496585541,1496585734,193
oltorf,benwhite,1496584758,1496584893,135
oltorf,benwhite,1496595135,1496595186,51
oltorf,benwhite,1496588332,1496588516,184
oltorf,benwhite,1496576536,1496576603,67
oltorf,benwhite,1496578518,1496578535,17
oltorf,benwhite,1496606027,1496606119,92
oltorf,benwhite,1496591254,1496591418,164
oltorf,benwhite,1496590823,1496590828,5
oltorf,benwhite,1496586105,1496586264,159
oltorf,benwhite,1496608674,1496608834,160
oltorf,benwhite,1496585020,1496585128,108
oltorf,benwhite,1496597056,1496597171,115
oltorf,benwhite,1496608334,1496608354,20
oltorf,benwhite,1496590831,1496590876,45
oltorf,benwhite,1496575435,1496575536,101
oltorf,benwhite,1496607457,1496607572,115
oltorf,benwhite,1496580117,1496580140,23
oltorf,benwhite,1496617249,1496617285,36
oltorf,benwhite,1496580347,1496580385,38
oltorf,benwhite,1496601887,1496601927,40
oltorf,benwhite,1496607542,1496607680,138
oltorf,benwhite,1496614964,1496615012,48
oltorf,benwhite,1496571653,1496571717,64
oltorf,benwhite,1496612325,1496612326,1
oltorf,benwhite,1496608612,1496608744,132
oltorf,benwhite,1496616539,1496616664,125
oltorf,benwhite,1496595281,1496595405,124
oltorf,benwhite,1496614735,1496614868,133
oltorf,benwhite,1496603022,1496603143,121
oltorf,benwhite,1496604465,1496604499,34
oltorf,benwhite,1496605171,1496605173,2
oltorf,benwhite,1496584159,1496584318,159
oltorf,benwhite,1496609680,1496609700,20
oltorf,benwhite,1496592648,1496592677,29
oltorf,benwhite,1496572057,1496572104,47
oltorf,benwhite,1496573607,1496573656,49
oltorf,benwhite,1496605033,1496605059,26
oltorf,benwhite,1496614719,1496614906,187
oltorf,benwhite,1496595090,1496595260,170
oltorf,benwhite,1496613720,1496613865,145
oltorf,benwhite,1496586079,1496586224,145
oltorf,benwhite,1496600729,1496600763,34
oltorf,benwhite,1496584267,1496584452,185
oltorf,benwhite,1496579728,1496579909,181
oltorf,benwhite,1496617207,1496617288,81
oltorf,benwhite,1496594997,1496595124,127
oltorf,benwhite,1496599994,1496600027,33
oltorf,benwhite,1496589373,1496589445,72
oltorf,benwhite,1496602626,1496602757,131
oltorf,benwhite,1496594334,1496594454,120
oltorf,benwhite,1496569857,1496569960,103
oltorf,benwhite,1496611705,1496611744,39
oltorf,benwhite,1496589640,1496589797,157
oltorf,benwhite,1496605215,1496605323,108
oltorf,benwhite,1496581703,1496581821,118
oltorf,benwhite,1496584481,1496584584,103
oltorf,benwhite,1496595992,1496596042,50
oltorf,benwhite,1496609351,1496609368,17
oltorf,benwhite,1496577069,1496577092,23
oltorf,benwhite,1496594971,1496594991,20
oltorf,benwhite,1496598492,1496598682,190
oltorf,benwhite,1496590413,1496590550,137
oltorf,benwhite,1496580594,1496580611,17
oltorf,benwhite,1496582959,1496583015,56
