segment,day,period,sample_size,travel_time,speed
lamar_12th$lamar_45th,0,am_off,17,325.0588235,33.82352941
lamar_12th$lamar_45th,0,am_peak,63,429.2063492,26.63492063
lamar_12th$lamar_45th,0,mid-day,215,434.2093023,26.11162791
lamar_12th$lamar_45th,0,pm_off,72,367.875,29.65277778
lamar_12th$lamar_45th,0,pm_peak,190,553.2210526,21.46842105
lamar_12th$lamar_45th,1,am_off,4,300.75,36
lamar_12th$lamar_45th,1,am_peak,87,395.7701149,27.87356322
lamar_12th$lamar_45th,1,mid-day,286,444.0629371,25.18181818
lamar_12th$lamar_45th,1,pm_off,90,400.0777778,29.2
lamar_12th$lamar_45th,1,pm_peak,228,723.25,17.59210526
lamar_12th$lamar_45th,2,am_peak,98,404.3673469,27.70408163
lamar_12th$lamar_45th,2,mid-day,259,467.96139,24.61776062
lamar_12th$lamar_45th,2,pm_off,85,381.8,28.77647059
lamar_12th$lamar_45th,2,pm_peak,170,633.4941176,18.97647059
lamar_12th$lamar_45th,3,am_off,8,326.75,33.375
lamar_12th$lamar_45th,3,am_peak,69,403.3623188,27.08695652
lamar_12th$lamar_45th,3,mid-day,199,451.040201,24.33668342
lamar_12th$lamar_45th,3,pm_off,78,378.1794872,28.75641026
lamar_12th$lamar_45th,3,pm_peak,185,593.3567568,20.47027027
lamar_12th$lamar_45th,4,am_off,19,339.0526316,32.36842105
lamar_12th$lamar_45th,4,am_peak,71,435.3521127,25.83098592
lamar_12th$lamar_45th,4,mid-day,264,551.0454545,21.58712121
lamar_12th$lamar_45th,4,pm_off,84,390.4166667,27.98809524
lamar_12th$lamar_45th,4,pm_peak,194,575.628866,21.24742268
lamar_12th$lamar_45th,5,am_off,36,343.3888889,32.41666667
lamar_12th$lamar_45th,5,am_peak,26,414.2307692,30.73076923
lamar_12th$lamar_45th,5,mid-day,229,419.7772926,26.41921397
lamar_12th$lamar_45th,5,pm_off,91,365.7252747,29.76923077
lamar_12th$lamar_45th,5,pm_peak,140,382.6857143,28.55714286
lamar_12th$lamar_45th,6,am_off,45,337.0222222,32.37777778
lamar_12th$lamar_45th,6,am_peak,10,484.1,26.7
lamar_12th$lamar_45th,6,mid-day,211,440.8625592,27.68246445
lamar_12th$lamar_45th,6,pm_off,88,389.4318182,29.06818182
lamar_12th$lamar_45th,6,pm_peak,142,380.2183099,29.23239437
lamar_12th$lamar_mlk,0,am_off,61,53.18032787,34.83606557
lamar_12th$lamar_mlk,0,am_peak,400,61.0325,30.9825
lamar_12th$lamar_mlk,0,mid-day,881,61.33825199,30.6538025
lamar_12th$lamar_mlk,0,pm_off,277,56.15162455,33.22743682
lamar_12th$lamar_mlk,0,pm_peak,783,81.14048531,27.48914432
lamar_12th$lamar_mlk,1,am_off,44,57.68181818,32.65909091
lamar_12th$lamar_mlk,1,am_peak,462,58.65367965,32.04545455
lamar_12th$lamar_mlk,1,mid-day,1097,63.05287147,29.97356427
lamar_12th$lamar_mlk,1,pm_off,327,57.12232416,32.62079511
lamar_12th$lamar_mlk,1,pm_peak,798,131.3508772,21.60275689
lamar_12th$lamar_mlk,2,am_off,46,55.93478261,33.84782609
lamar_12th$lamar_mlk,2,am_peak,425,61.92470588,30.72470588
lamar_12th$lamar_mlk,2,mid-day,889,66.65804274,28.97525309
lamar_12th$lamar_mlk,2,pm_off,303,58.23432343,32.31023102
lamar_12th$lamar_mlk,2,pm_peak,678,103.5648968,23.42625369
lamar_12th$lamar_mlk,3,am_off,61,55.16393443,33.91803279
lamar_12th$lamar_mlk,3,am_peak,412,61.74757282,30.62135922
lamar_12th$lamar_mlk,3,mid-day,816,62.29411765,30.2254902
lamar_12th$lamar_mlk,3,pm_off,284,60.77816901,31.16549296
lamar_12th$lamar_mlk,3,pm_peak,690,90.59130435,25.31449275
lamar_12th$lamar_mlk,4,am_off,63,56.65079365,33.03174603
lamar_12th$lamar_mlk,4,am_peak,379,64.18469657,29.83113456
lamar_12th$lamar_mlk,4,mid-day,948,68.62130802,27.89451477
lamar_12th$lamar_mlk,4,pm_off,329,62.17629179,30.57142857
lamar_12th$lamar_mlk,4,pm_peak,616,96.56655844,25.36363636
lamar_12th$lamar_mlk,5,am_off,133,56.78947368,32.60150376
lamar_12th$lamar_mlk,5,am_peak,128,58.4921875,32.515625
lamar_12th$lamar_mlk,5,mid-day,783,59.68199234,31.30268199
lamar_12th$lamar_mlk,5,pm_off,307,60.71335505,30.95114007
lamar_12th$lamar_mlk,5,pm_peak,453,56.67328918,32.62030905
lamar_12th$lamar_mlk,6,am_off,178,62.20786517,30.89325843
lamar_12th$lamar_mlk,6,am_peak,75,61.12,31.33333333
lamar_12th$lamar_mlk,6,mid-day,779,59.08472401,31.57509628
lamar_12th$lamar_mlk,6,pm_off,307,58.69381107,32.02931596
lamar_12th$lamar_mlk,6,pm_peak,505,56.63762376,32.73465347
lamar_24th$lamar_29th,0,am_off,35,93.25714286,34.65714286
lamar_24th$lamar_29th,0,am_peak,261,96.28735632,33.98467433
lamar_24th$lamar_29th,0,mid-day,748,98.45053476,33.21122995
lamar_24th$lamar_29th,0,pm_off,196,93.44387755,34.55612245
lamar_24th$lamar_29th,0,pm_peak,737,121.0705563,28.45590231
lamar_24th$lamar_29th,1,am_off,21,89.85714286,35.95238095
lamar_24th$lamar_29th,1,am_peak,350,94.9,34.29428571
lamar_24th$lamar_29th,1,mid-day,1015,101.6689655,32.37931034
lamar_24th$lamar_29th,1,pm_off,259,94.18146718,34.38223938
lamar_24th$lamar_29th,1,pm_peak,826,149.279661,24.88983051
lamar_24th$lamar_29th,2,am_off,20,92.7,34.85
lamar_24th$lamar_29th,2,am_peak,315,96.02857143,34.12063492
lamar_24th$lamar_29th,2,mid-day,771,99.67055772,32.81841764
lamar_24th$lamar_29th,2,pm_off,177,92.7740113,34.88135593
lamar_24th$lamar_29th,2,pm_peak,517,147.0502901,25.21856867
lamar_24th$lamar_29th,3,am_off,40,92.9,34.9
lamar_24th$lamar_29th,3,am_peak,284,100.3098592,32.58098592
lamar_24th$lamar_29th,3,mid-day,756,103.6666667,31.69708995
lamar_24th$lamar_29th,3,pm_off,238,96.98319328,33.52521008
lamar_24th$lamar_29th,3,pm_peak,632,137.2325949,26.81012658
lamar_24th$lamar_29th,4,am_off,55,90.41818182,35.74545455
lamar_24th$lamar_29th,4,am_peak,273,94.81684982,34.27838828
lamar_24th$lamar_29th,4,mid-day,871,109.9770379,30.77267509
lamar_24th$lamar_29th,4,pm_off,235,98.53191489,33.02978723
lamar_24th$lamar_29th,4,pm_peak,609,116.9622332,29.07389163
lamar_24th$lamar_29th,5,am_off,91,90.87912088,35.64835165
lamar_24th$lamar_29th,5,am_peak,92,91.08695652,35.56521739
lamar_24th$lamar_29th,5,mid-day,641,99.59126365,32.83151326
lamar_24th$lamar_29th,5,pm_off,261,97.69731801,33.31800766
lamar_24th$lamar_29th,5,pm_peak,322,95.29813665,34.0310559
lamar_24th$lamar_29th,6,am_off,130,92.86153846,35.17692308
lamar_24th$lamar_29th,6,am_peak,57,92.45614035,35.05263158
lamar_24th$lamar_29th,6,mid-day,602,96.09136213,33.93853821
lamar_24th$lamar_29th,6,pm_off,235,93.4,34.64680851
lamar_24th$lamar_29th,6,pm_peak,389,93.92802057,34.62982005
lamar_29th$lamar_38th,0,am_off,45,70.86666667,30.75555556
lamar_29th$lamar_38th,0,am_peak,223,102.7623318,22.28699552
lamar_29th$lamar_38th,0,mid-day,687,107.0975255,21.19068413
lamar_29th$lamar_38th,0,pm_off,222,88.0045045,25.48198198
lamar_29th$lamar_38th,0,pm_peak,701,160.4108417,16.41654779
lamar_29th$lamar_38th,1,am_off,33,73.18181818,29.90909091
lamar_29th$lamar_38th,1,am_peak,309,102.5501618,22.08090615
lamar_29th$lamar_38th,1,mid-day,952,121.2657563,19.22163866
lamar_29th$lamar_38th,1,pm_off,255,89.45490196,25.14901961
lamar_29th$lamar_38th,1,pm_peak,828,203.173913,12.71376812
lamar_29th$lamar_38th,2,am_off,30,68.8,32.26666667
lamar_29th$lamar_38th,2,am_peak,245,97.92244898,23.01632653
lamar_29th$lamar_38th,2,mid-day,652,118.2300613,19.63496933
lamar_29th$lamar_38th,2,pm_off,167,87.50898204,25.66467066
lamar_29th$lamar_38th,2,pm_peak,542,189.1881919,13.45202952
lamar_29th$lamar_38th,3,am_off,47,67.23404255,32.27659574
lamar_29th$lamar_38th,3,am_peak,224,104.3616071,21.64732143
lamar_29th$lamar_38th,3,mid-day,659,121.5295903,19.15022762
lamar_29th$lamar_38th,3,pm_off,222,89.28828829,25.18018018
lamar_29th$lamar_38th,3,pm_peak,664,176.7078313,14.57228916
lamar_29th$lamar_38th,4,am_off,46,76.10869565,29.19565217
lamar_29th$lamar_38th,4,am_peak,237,102.8902954,22.24472574
lamar_29th$lamar_38th,4,mid-day,790,165.0898734,15.51012658
lamar_29th$lamar_38th,4,pm_off,252,92.95634921,24.00396825
lamar_29th$lamar_38th,4,pm_peak,592,162.0709459,16.06081081
lamar_29th$lamar_38th,5,am_off,110,70.59090909,31.04545455
lamar_29th$lamar_38th,5,am_peak,100,85.27,27.01
lamar_29th$lamar_38th,5,mid-day,638,102.2633229,21.84169279
lamar_29th$lamar_38th,5,pm_off,221,88.08144796,25.31674208
lamar_29th$lamar_38th,5,pm_peak,365,91.04383562,24.72054795
lamar_29th$lamar_38th,6,am_off,126,73.07142857,30.02380952
lamar_29th$lamar_38th,6,am_peak,75,82.2,28.13333333
lamar_29th$lamar_38th,6,mid-day,622,90.76688103,24.83762058
lamar_29th$lamar_38th,6,pm_off,219,86.01369863,25.78082192
lamar_29th$lamar_38th,6,pm_peak,413,91.5811138,24.6464891
lamar_29th$lamar_morrow,0,am_off,1,336,41
lamar_29th$lamar_morrow,0,am_peak,13,641.1538462,22.76923077
lamar_29th$lamar_morrow,0,mid-day,99,775.3232323,21.66666667
lamar_29th$lamar_morrow,0,pm_off,14,509.7142857,27.57142857
lamar_29th$lamar_morrow,0,pm_peak,99,921.5252525,17.64646465
lamar_29th$lamar_morrow,1,am_off,1,451,30
lamar_29th$lamar_morrow,1,am_peak,34,585.5294118,24.41176471
lamar_29th$lamar_morrow,1,mid-day,130,705.7923077,21.71538462
lamar_29th$lamar_morrow,1,pm_off,25,516.8,27.72
lamar_29th$lamar_morrow,1,pm_peak,107,1179.233645,12.98130841
lamar_29th$lamar_morrow,2,am_off,1,475,29
lamar_29th$lamar_morrow,2,am_peak,21,641.4761905,23.47619048
lamar_29th$lamar_morrow,2,mid-day,94,736.1276596,20.46808511
lamar_29th$lamar_morrow,2,pm_off,19,522.2631579,27
lamar_29th$lamar_morrow,2,pm_peak,66,1153.924242,14.71212121
lamar_29th$lamar_morrow,3,am_off,1,388,35
lamar_29th$lamar_morrow,3,am_peak,19,747.6315789,22.73684211
lamar_29th$lamar_morrow,3,mid-day,98,800.9081633,20.07142857
lamar_29th$lamar_morrow,3,pm_off,21,693.6666667,26.38095238
lamar_29th$lamar_morrow,3,pm_peak,123,889.2276423,17.41463415
lamar_29th$lamar_morrow,4,am_off,1,503,27
lamar_29th$lamar_morrow,4,am_peak,18,679.3888889,24.27777778
lamar_29th$lamar_morrow,4,mid-day,125,949.872,17.688
lamar_29th$lamar_morrow,4,pm_off,32,607.90625,24.125
lamar_29th$lamar_morrow,4,pm_peak,96,963.6770833,15.83333333
lamar_29th$lamar_morrow,5,am_off,7,584.4285714,28.42857143
lamar_29th$lamar_morrow,5,am_peak,3,429.6666667,32.33333333
lamar_29th$lamar_morrow,5,mid-day,107,704.5700935,21.54205607
lamar_29th$lamar_morrow,5,pm_off,18,536.3888889,25.83333333
lamar_29th$lamar_morrow,5,pm_peak,51,596.3529412,23.60784314
lamar_29th$lamar_morrow,6,am_off,8,422.125,32.375
lamar_29th$lamar_morrow,6,mid-day,60,629.0166667,23.8
lamar_29th$lamar_morrow,6,pm_off,16,484.4375,28.5
lamar_29th$lamar_morrow,6,pm_peak,51,604.2745098,25.09803922
lamar_38th$lamar_45th,0,am_off,51,68.17647059,35.52941176
lamar_38th$lamar_45th,0,am_peak,191,76.32984293,32.22513089
lamar_38th$lamar_45th,0,mid-day,677,89.41654357,27.96602659
lamar_38th$lamar_45th,0,pm_off,232,78.60344828,31.38793103
lamar_38th$lamar_45th,0,pm_peak,554,108.4530686,24.25812274
lamar_38th$lamar_45th,1,am_off,49,71.16326531,34.44897959
lamar_38th$lamar_45th,1,am_peak,244,81.78278689,30.6557377
lamar_38th$lamar_45th,1,mid-day,827,95.56590085,26.25997582
lamar_38th$lamar_45th,1,pm_off,255,80.29019608,30.67058824
lamar_38th$lamar_45th,1,pm_peak,675,140.7688889,20.1762963
lamar_38th$lamar_45th,2,am_off,47,75.91489362,32.25531915
lamar_38th$lamar_45th,2,am_peak,224,79.44196429,31.31696429
lamar_38th$lamar_45th,2,mid-day,670,97.55671642,25.93731343
lamar_38th$lamar_45th,2,pm_off,236,79.47033898,30.97881356
lamar_38th$lamar_45th,2,pm_peak,562,122.3807829,21.72419929
lamar_38th$lamar_45th,3,am_off,44,69.36363636,35.79545455
lamar_38th$lamar_45th,3,am_peak,192,79.08333333,31.30208333
lamar_38th$lamar_45th,3,mid-day,665,95.91428571,26.09924812
lamar_38th$lamar_45th,3,pm_off,239,81.87866109,29.88284519
lamar_38th$lamar_45th,3,pm_peak,540,116.65,22.77407407
lamar_38th$lamar_45th,4,am_off,68,72.54411765,33.88235294
lamar_38th$lamar_45th,4,am_peak,198,82.53030303,30.30808081
lamar_38th$lamar_45th,4,mid-day,687,103.4614265,24.71615721
lamar_38th$lamar_45th,4,pm_off,219,86.38812785,28.57077626
